Headline,Body ID
"His team will select four adult patients (children cannot be selected due to concerns over consent), with operations being carried out at six-month intervals.",0
"Shortly after the trial opened, it was suspended because of Meri's frail health and then abandoned when he died.",1
"The report, which labeled these events as a campaign of extermination, linked the violence to beliefs about special powers held by the Bambuti.",2
"Greenpeace was awarded €500,000 in damages.",3
The current owners have begun pumping 40 years of rain water from the quarry with the aim of developing a heritage centre on the site.,4
"Why he did so, and why he was not prosecuted after the war, remain a mystery.",5
"In the official public statement, Page explained that the ""health and well-being"" company would focus on ""the challenge of ageing and associated diseases"".",6
Chinese culture has long emphasized a sense of deep history and a largely inward-looking national perspective.,7
"On 26 December 2005, Russian prosecutors investigating the siege on the school declared that authorities had made no mistakes whatsoever.",8
The modern sense of terrorism emerged in the mid-19th century.,9
"However, Owen suffered a serious knee injury in the opening minute of the match and Crouch replaced him, playing the remainder of the match.",10
"In the latter appearance, Crouch's introduction as a second-half substitute was booed by England's own supporters.",11
"Following Redknapp's sacking in 2012, Bond left the club in June 2012.",12
"In a measure of the Bhojpuri film industry's rise, both of these did much better business in the states of Uttar Pradesh and Bihar than mainstream Bollywood hits at the time, and both films, made on extremely tight budgets, earned back more than ten times their production costs.",13
"A system has been developed in the UK to connect calls where the caller is sent to an automated system, leaving more operators free to handle genuine emergency calls.",14
"Four files containing post mortems, medical records and profiles on the victims, as well as Thomas Hamilton's autopsy, remained sealed under the 100-year order to avoid distressing the relatives and survivors.",15
"However, this time the Red Devils prevailed, gaining revenge in a 3–1 win.",16
On July 1 they announced the cancellation of the tournament.,17
His soul is then transferred to the body of an unborn child from one of the more affluent areas of Edinburgh.,18
These included the reduction of 5 SCOTS (Argyll and Sutherland Highlanders) to a single company (Balaklava Company) for public (ceremonial) duties in Scotland.,19
"It was constructed on three levels, with 70 rooms off its basement level tunnel.",20
The fort is run by a team of five paid staff members and a dedicated team of 70 volunteers.,21
The mountainous areas register greater rainfall since they constitute a barrier to the humid wind that comes from the Atlantic.,22
"The completion date for the building slips again, and plans for a grand ""Opening Ceremony"" are shelved indefinitely.",23
"The First Minister emphasised that he was keen to see an increase in the specialist skills of civil servants, in order for them to be able to administer projects of such magnitude in the future.",24
"The report also indicated that whilst one of the bolts was missing, the other was broken and had damaged threads commensurate with being overtightened or jammed, which twisted the head off, or came close to doing so.",25
The report concluded that savings of 20% could be made on the current project and that scrapping the project completely at that stage or moving to another site would entail additional costs of £30m.,26
"Conducted in a ""town meeting"" format, less formal than the first Presidential debate, this debate sees President Bush and Senator Kerry taking questions on a variety of subjects from a local audience.",27
"Domestic issues, including a strong economy and fears of interest rate increases, dominate the election.",28
Pundits say that this will help Bush's campaign.,29
"It has been estimated that 23,000 British people died from the poisoning.",30
Bocanegra expressed a desire to return to Rangers once his loan deal has expired.,31
The protest was rejected by UEFA on August 24 as Maribor did not submit it within twenty-four hours of the match.,32
"Plant is part of a Glyndŵr network, and attends meetings about him in Wales.",33
"During his two years in Hong Kong, he took part in training exercises in Malaysia, South Korea, Hawaii and Australia.",34
His first staff appointment was at HQ Northern Ireland.,35
Sunderland went on to lose the game 2–0.,36
He was subsequently released at the end of the season.,37
The game finished 1–1.,38
"He was released on February 21, 2007.",39
"The $1,725 ransom was paid and Mohammed was released on October 29, 2004.",40
They were freed the next day by US forces.,41
Much more predictive of sexual-health status are socioeconomic factors like poverty and mobility.,42
Clarke's success was such that Brown felt he had to pledge to keep to Clarke's spending plans and these limits remained in place for the first two years of the Labour Government that was elected in 1997.,43
"He still retained huge popularity among voters, with 40% of the public believing he would be the best leader.",44
Leicester won the game 1–0 scoring 59 seconds after Taylor had missed his penalty.,45
"As a result, some of the joints were re-welded, with equipment put in place to prevent excessive movement.",46
According to a 2003 BBC article the Palestinians lack access to the Jordan River system.,47
