Headline,Body ID,Stance
Marcus Agius will fill his post until a replacement is found.,0,unrelated
Labelling a breed as aggressive makes those dogs more difficult to rehome.,1,unrelated
He studied theology.,2,unrelated
Alcock was jailed for life and must serve at least 21 years.,3,unrelated
"Jenkin claimed that he was just paying ""an honest and reasonable rent"" for the property.",4,unrelated
The view from the gallery is similar to that seen by Turner from his lodging house.,5,unrelated
"Custom built for Gallagher, the guitar was placed for auction by one of his close friends to whom it was given after his death.",6,unrelated
"They have also now been sighted at locations such as Wolseley, Willington, and Attenborough.",7,unrelated
The IRA gunmen who shot the two PC's escaped and after a manhunt were later imprisoned and then released under the Good Friday Agreement.,8,unrelated
"In October 2010, the 3,000 m (10,000&#160;ft) runway at Spaceport America was opened, with SpaceShipTwo ""VSS Enterprise"" shipped to the site carried underneath the fuselage of Virgin Galactic's Mother Ship Eve.",9,unrelated
The twins in the womb were taken out first.,10,unrelated
Curbishley rewarded the chairman's loyalty with the Division One title in 2000 which signalled a return to the Premier League.,11,unrelated
In the Doctor's absence Rose relies on her observations of him and tries to mimic his actions.,12,unrelated
More than 600&#160;people died as a result of the lahar.,13,unrelated
"She was re-elected in both 2001 and in 2005, but did not run in the 2010 general election.",14,unrelated
"On April 10, 2007, during a major restoration of the property by the new owner, Cash's home was accidentally destroyed in a spontaneous combustion-ignited fire caused by workers using linseed oil products.",15,unrelated
Jagger's spokesperson has refused to comment on the matter.,16,unrelated
Its centre originally was intended partly as a traffic island for pedestrians.,17,unrelated
The association with football hooliganism led to the wearing of Burberry check garments being banned at some venues.,18,unrelated
Overexploitation and overfishing have forced these two species of fish to migrate deeper into unexplored territory in the Rupununi.,19,unrelated
This meant that Dylan currently holds the record for the longest gap between solo number one albums in the UK chart.,20,unrelated
"Truro was named in 2006 as the top small city in the United Kingdom for increasing house prices, at 262% since 1996.",21,unrelated
Imbert insists that the plotters acted on their own.,22,unrelated
Alonso picked number 14 as he used the number in his karting career and considers it to be a lucky number.,23,unrelated
A car accident prevented him from moving during the summer transfer window.,24,unrelated
Many references to the legion have been made in subsequent works of fiction.,25,unrelated
The appeal was rejected on a technicality but court added that she would be able to try again in a few months.,26,unrelated
His death was subsequently confirmed by the Egyptian government.,27,unrelated
Because of this she has lent her support to the Department for Education's anti-bullying campaign in 2000.,28,unrelated
"Middlesbrough have one of the highest proportions in Britain of locally born season ticket holders at 80%, and one of the highest proportions of female fans at 20%.",29,unrelated
Day and Ward have admitted that their original analysis of the danger was based on several worst case assumptions.,30,unrelated
The outbreak had occurred before he was diagnosed and received the penicillin.,31,unrelated
"A license would not ""cost that much&#160;– tens of thousands of dollars"" for companies, but would be free of charge for individuals.",32,unrelated
"He was brought on for Given, who had pulled his groin in the 87th minute, and received a tremendous reception from the Newcastle crowd as he came on.",33,unrelated
The case attracted considerable media attention.,34,unrelated
She continued to sit as a standalone independent.,35,unrelated
Kyrgyz officials told the media that a person suspected to be behind the violence in Jalal-Abad had been detained.,36,unrelated
"The album is directly influenced by three things: modern pop punk, 1960s surfer pop, and tales of unrequited love.",37,unrelated
Halls is yet to find a new club.,38,unrelated
She was restored and was reopened to the public on 25 April 2012.,39,unrelated
"It was once believed that the lake had been sealed off for 500,000 to one million years but a recent survey suggests that, every so often, there are large flows of water from one lake to another.",40,unrelated
The high costs of translation from English to Welsh have proved controversial.,41,unrelated
Cotton had to persist in repeating the correct name until the confusion was resolved.,42,unrelated
"He eventually chose ""Mad World"", as Tears for Fears were one of his and childhood friend Jules' favourite bands growing up.",43,unrelated
"This was unsuccessful, however, and by 2012 he once again required a transplant.",44,unrelated
