Headline,Body ID
"Benon Sevan later fled the United States to Cyprus, while Aleksandr Yakovlev and Vladimir Kuznetsov decided to stand trial.",0
HIV educators emphasised that this would do nothing to prevent HIV transmission.,1
"The Buddhist temples are designed to symbolize 5 elements: Fire, Air, Earth, Water, and Wisdom.",2
"This is not going to be solved in a short term"".",3
"He lists his interests as sailing, shooting, tennis, skiing and golf.",4
HIV educators emphasised that this would do nothing to prevent HIV transmission.,5
"The prosecution asserted that her lack of resistance was due to a state of shock, and that the relationship between the two was like that of a 'father-daughter' pair.",6
"As a result of this ruling pies made only within a designated zone around Melton, and using uncured pork, are allowed to carry the Melton Mowbray name on their packaging.",7
"In a hearing prior to the rape trial, a group of thousands of his supporters gathered near the courthouse, as a smaller gathering of anti-rape groups demonstrated on behalf of the alleged rape victim.",8
"David Wilson-Johnson took the title role, with Wieslaw Ochman as the Shepherd, Eilene Hannan as Roxana, Martyn Hill as Edrisi, Matthew Best as the Archbishop and Anne Collins as the Archdeaconess.",9
"In a BBC interview, the ambassador for Ivory Coast to the United Kingdom called these reports of widespread use of slave child labour by 700,000 cocoa farmers as absurd and inaccurate.",10
HIV educators emphasised that this would do nothing to prevent HIV transmission.,11
HIV educators emphasised that this would do nothing to prevent HIV transmission.,12
It has been cited as a pivotal development in Tesco's progress towards becoming the UK's largest supermarket chain and one that fundamentally changed the country's supermarket business.,13
Some left-wing supporters claimed that Mbeki and his more market-oriented wing of the party had conspired to oust Zuma to entrench their dominance in the ANC.,14
"In a hearing prior to the rape trial, a group of thousands of his supporters gathered near the courthouse, as a smaller gathering of anti-rape groups demonstrated on behalf of the alleged rape victim.",15
"In a hearing prior to the rape trial, a group of thousands of his supporters gathered near the courthouse, as a smaller gathering of anti-rape groups demonstrated on behalf of the alleged rape victim.",16
The face and genitals of Zuma were painted over.,17
The purchase was completed on 3 October 2002.,18
Vitamin C is especially prone to oxidation during cooking and may be completely destroyed by protracted cooking.,19
"He let her write letters to her family, which he read but never sent.",20
"Donnelly then shot himself, but survived and was apprehended by police.",21
"This led to calls for him to do so by opposition parties, and ANC alliance partner COSATU.",22
She never returned to face the charges and the Coroner's Court recorded a verdict of accidental death.,23
