Headline,Body ID,Stance
"His team will select four adult patients (children cannot be selected due to concerns over consent), with operations being carried out at six-month intervals.",0,agree
"Shortly after the trial opened, it was suspended because of Meri's frail health and then abandoned when he died.",1,agree
"The report, which labeled these events as a campaign of extermination, linked the violence to beliefs about special powers held by the Bambuti.",2,agree
"Greenpeace was awarded €500,000 in damages.",3,agree
The current owners have begun pumping 40 years of rain water from the quarry with the aim of developing a heritage centre on the site.,4,agree
"Why he did so, and why he was not prosecuted after the war, remain a mystery.",5,agree
"In the official public statement, Page explained that the ""health and well-being"" company would focus on ""the challenge of ageing and associated diseases"".",6,agree
Chinese culture has long emphasized a sense of deep history and a largely inward-looking national perspective.,7,agree
"On 26 December 2005, Russian prosecutors investigating the siege on the school declared that authorities had made no mistakes whatsoever.",8,agree
The modern sense of terrorism emerged in the mid-19th century.,9,agree
"However, Owen suffered a serious knee injury in the opening minute of the match and Crouch replaced him, playing the remainder of the match.",10,agree
"In the latter appearance, Crouch's introduction as a second-half substitute was booed by England's own supporters.",11,agree
"Following Redknapp's sacking in 2012, Bond left the club in June 2012.",12,agree
"In a measure of the Bhojpuri film industry's rise, both of these did much better business in the states of Uttar Pradesh and Bihar than mainstream Bollywood hits at the time, and both films, made on extremely tight budgets, earned back more than ten times their production costs.",13,agree
"A system has been developed in the UK to connect calls where the caller is sent to an automated system, leaving more operators free to handle genuine emergency calls.",14,agree
"Four files containing post mortems, medical records and profiles on the victims, as well as Thomas Hamilton's autopsy, remained sealed under the 100-year order to avoid distressing the relatives and survivors.",15,agree
"However, this time the Red Devils prevailed, gaining revenge in a 3–1 win.",16,agree
On July 1 they announced the cancellation of the tournament.,17,agree
His soul is then transferred to the body of an unborn child from one of the more affluent areas of Edinburgh.,18,agree
These included the reduction of 5 SCOTS (Argyll and Sutherland Highlanders) to a single company (Balaklava Company) for public (ceremonial) duties in Scotland.,19,agree
"It was constructed on three levels, with 70 rooms off its basement level tunnel.",20,agree
The fort is run by a team of five paid staff members and a dedicated team of 70 volunteers.,21,agree
The mountainous areas register greater rainfall since they constitute a barrier to the humid wind that comes from the Atlantic.,22,agree
"The completion date for the building slips again, and plans for a grand ""Opening Ceremony"" are shelved indefinitely.",23,agree
"The First Minister emphasised that he was keen to see an increase in the specialist skills of civil servants, in order for them to be able to administer projects of such magnitude in the future.",24,agree
"The report also indicated that whilst one of the bolts was missing, the other was broken and had damaged threads commensurate with being overtightened or jammed, which twisted the head off, or came close to doing so.",25,agree
The report concluded that savings of 20% could be made on the current project and that scrapping the project completely at that stage or moving to another site would entail additional costs of £30m.,26,agree
"Conducted in a ""town meeting"" format, less formal than the first Presidential debate, this debate sees President Bush and Senator Kerry taking questions on a variety of subjects from a local audience.",27,agree
"Domestic issues, including a strong economy and fears of interest rate increases, dominate the election.",28,agree
Pundits say that this will help Bush's campaign.,29,agree
"It has been estimated that 23,000 British people died from the poisoning.",30,agree
Bocanegra expressed a desire to return to Rangers once his loan deal has expired.,31,agree
The protest was rejected by UEFA on August 24 as Maribor did not submit it within twenty-four hours of the match.,32,agree
"Plant is part of a Glyndŵr network, and attends meetings about him in Wales.",33,agree
"During his two years in Hong Kong, he took part in training exercises in Malaysia, South Korea, Hawaii and Australia.",34,agree
His first staff appointment was at HQ Northern Ireland.,35,agree
Sunderland went on to lose the game 2–0.,36,agree
He was subsequently released at the end of the season.,37,agree
The game finished 1–1.,38,agree
"He was released on February 21, 2007.",39,agree
"The $1,725 ransom was paid and Mohammed was released on October 29, 2004.",40,agree
They were freed the next day by US forces.,41,agree
Much more predictive of sexual-health status are socioeconomic factors like poverty and mobility.,42,agree
Clarke's success was such that Brown felt he had to pledge to keep to Clarke's spending plans and these limits remained in place for the first two years of the Labour Government that was elected in 1997.,43,agree
"He still retained huge popularity among voters, with 40% of the public believing he would be the best leader.",44,agree
Leicester won the game 1–0 scoring 59 seconds after Taylor had missed his penalty.,45,agree
"As a result, some of the joints were re-welded, with equipment put in place to prevent excessive movement.",46,agree
According to a 2003 BBC article the Palestinians lack access to the Jordan River system.,47,agree
"As a result, the PA's 160,000 employees have not received their salaries in over one year.",48,agree
A June 2009 BBC report suggests these improvements have not all been sustained.,49,agree
"He said that, even though he had apologised for the remark almost immediately, he believed his show business career was over.",50,agree
"The project also includes educational exhibits, play areas and a restaurant, the Manado Street Kitchen.",51,agree
The exact mechanism of fertilization could not be determined but the study stated that it was unlikely to be a case of polar body twinning.,52,agree
"Claiming the coalition agreement had been broken, Clegg stated that Liberal Democrat MPs would no longer support changes to the House of Commons boundaries for the 2015 general election.",53,agree
"This was both the worst result in the history of the party, and of any governing party.",54,agree
They also lost heavily in the Welsh assembly and Scottish Parliament.,55,agree
"Due to the poor financial state of his family, three of his brothers were raised in a nearby orphanage.",56,agree
"It was introduced into North America from Asia in 1916 to control aphids, but is now the most common species, outcompeting many of the native species.",57,agree
"However, they did not qualify for either of the next two tournaments.",58,agree
"Countries that had enrichment programs in the past include Libya and South Africa, although Libya's facility was never operational.",59,agree
"Notably, the investment made Nick D'Aloisio, Summly's founder, the world's youngest person to receive a venture capital investment at just fifteen years old.",60,agree
"The sign features an upside-down 'B', which has been interpreted as an act of defiance by the prisoners who made it.",61,agree
"In December 2006, he was again turned down for parole.",62,agree
"A confidential memo called the Spanish communiqué ""a flimsy and unconvincing document"", and the Government put an end to the dispute by refusing to comment on the claims.",63,agree
The final result was 1–1 with Slovenia qualifying to its second consecutive major tournament and the first-ever World Cup.,64,agree
"These antedate the oldest grains in China, which were dated to 10,000&#160;BC, and potentially challenge the mainstream explanation that domesticated rice originated in China.",65,agree
"The success of the Anka version prompted Bowie to write ""Life on Mars?"" as a parody of Sinatra's recording.",66,agree
"It was also announced on 11 October 2013 that his body was being taken to the Tibetan Autonomous Region, to his monastery (Dolma Lhakang), for a ceremony and cremation in accordance with his high standing.",67,agree
It was the first major snowfall in the city in 89 years.,68,agree
"An opposition satellite station, Lualua TV, operates from London but has found its signals blocked.",69,agree
Several foreign correspondents were expelled.,70,agree
"In July 2009, a memorial concert and re-dedication ceremony was held at the bandstand on Walmer Green, attended by thousands.",71,agree
Both parties are secular and enjoy close ties with the West.,72,agree
The party has a more consistent anti-sectarian perspective than most of its rivals.,73,agree
"De facto separate since Georgian independence, offers were made to give South Ossetia autonomy again, but in 2006 an unrecognised referendum in the area resulted in a vote for independence.",74,agree
"The region retains autonomy, as a sign of Ajaria's reconnection with the central Georgian government, the Georgian Constitutional Court was moved from T'bilisi to Batumi.",75,agree
"The northern subspecies had very few remaining, with only three confirmed individuals left in 2015 (two females; Fatu, 15 and Najin, 25: and one male; Sudan, 42), all in captivity.",76,agree
The range of its individual characteristics is thereby wide.,77,agree
She also identified Bawa as Kingsley Ojo and said that she had wrongly identified a photograph that had been circulating in the press as Patrick when it was in fact of a friend's living son.,78,agree
"Alonso was not at full fitness but, as Steven Gerrard was injured, he played for the full 90 minutes and Liverpool held the score at 0–0 in Italy, defeating the eventual Italian champions on aggregate.",79,agree
"Crouch denied this, highlighting that Alonso's passing ability, alongside Gerrard, would define Liverpool's style of play.",80,agree
Liverpool won on penalties without his help but Alonso still earned his first FA Cup winners' medal.,81,agree
The team fell three goals behind Milan but completed a dramatic second-half comeback.,82,agree
He has also opened up his own practice studio for young people to start bands.,83,agree
However the new fleet suffered from a number of technical faults which coupled with infrastructure and capacity issues led to many problems.,84,agree
The accident was caused by a faulty set of points and Network Rail accepted full responsibility.,85,agree
"Punctuality did gradually improve until the introduction of a new timetable (in December 2008), following the upgrade of the West Coast Main Line, which resulted in a dip in performance.",86,agree
"In November 2006, Bozizé's government requested French military support to help them repel rebels who had taken control of towns in the country's northern regions.",87,agree
"Between 1948 and 1989 about 250,000 Czechs and Slovaks were sent to prison for political reasons, and over 400,000 emigrated.",88,agree
Australian reinforcements were immediately sent to help keep order.,89,agree
Opposition parties made accusations of serious irregularities in the election.,90,agree
This was the first time since Mauritania gained independence in 1960 that it elected a president in a multi-candidate election.,91,agree
"Approximately 1,500 Greek Cypriots and 500 Turkish Cypriots remain missing.",92,agree
They have commissioned more than 30 public sculptures since 1993.,93,agree
"The Harland and Wolff shipyards became one of the largest shipbuilders in the world, employing up to 35,000 workers.",94,agree
"On the day he was buried in the city, 100,000 people lined the route from his home on the Cregagh Road to Roselawn cemetery.",95,agree
The most recent example of this conflict was known as the Troubles – a civil conflict that raged from around 1969 to 1998.,96,agree
"The ban includes penalties of a 12-month jail sentence and fines of up to 50,000 riyals ($13,000).",97,agree
"In 1996, over 300,000 people attended, leading to ticketing of the main street party in later years up to a limit of 100,000 tickets.",98,agree
The event attracts thousands of people from all over the world.,99,agree
"In 2006, 1867 different shows were staged in 261 venues across the city.",100,agree
"The city's historical and cultural attractions have made it the United Kingdom's second most popular tourist destination after London, attracting over one million overseas visitors each year.",101,agree
The colour shade Pantone 300C was perceived as the best choice.,102,agree
"It began in 2011 as a chain of supposedly peaceful protests, followed by an alleged crackdown by the Syrian Army.",103,agree
In October 2014 Tunisia held its first elections under the new constitution following the Arab Spring.,104,agree
On 23 November 2014 Tunisia held its first Presidential Election following the Arab Spring in 2011.,105,agree
Prisons are overcrowded and drug offenders represent nearly a third of the prison population.,106,agree
"Mindful of the protests in nearby Bahrain, in November 2012 the UAE outlawed online mockery of its own government or attempts to organise public protests through social media.",107,agree
"Prison terms have been given to those who ""deride or damage"" the reputation of the state and ""display contempt"" for religion.",108,agree
"The rebels counter that they are ""defending their community against discrimination"" and government aggression.",109,agree
A new government formed.,110,agree
More than 100 were injured.,111,agree
Bringing the ship into port and booming around her to contain the leaking oil would have been less harmful than sending her back to sea and almost inevitable sinking.,112,agree
His confessions episode was voted 'Most Spectacular Scene' and his murders were voted 'Best Storyline'.,113,agree
"Micky Cook, the director of youth, had to spend endless hours with him and [manager] Steve Wignall and then [the next manager] Steve Whitton had to spend a lot of time with him talking him through the tactical side of the game and what his role was within the team"".",114,agree
This also lead to a change in legislation for the FA introducing standard rules meaning a player on loan could not play against their parent club.,115,agree
Gateshead Council invited tenders in August 2008 from commercial organisations interested in undertaking the development.,116,agree
The defeat consigned the club to a 55th consecutive season outside the Football League.,117,agree
